uniprot_acc,Tm,organism,n_measurements
A0A023PXQ4,52.4,Saccharomyces cerevisiae,1
A0A023T4K3,37.96,Caenorhabditis elegans,1
A0A023T778,54.935,Mus musculus,2
A0A061ACF5,49.46,Caenorhabditis elegans,1
A0A061ACH4,42.59,Caenorhabditis elegans,1
A0A061ACH8,38.0,Caenorhabditis elegans,1
A0A061ACH9,42.52,Caenorhabditis elegans,1
A0A061ACI3,43.89,Caenorhabditis elegans,1
A0A061ACL3,41.97,Caenorhabditis elegans,1
A0A061ACL6,49.04,Caenorhabditis elegans,1
A0A061ACM7,45.64,Caenorhabditis elegans,1
A0A061ACQ8,38.56,Caenorhabditis elegans,1
A0A061ACR1,47.37,Caenorhabditis elegans,1
A0A061ACX4,42.67,Caenorhabditis elegans,1
A0A061AD29,37.3,Caenorhabditis elegans,1
A0A061AJJ3,39.4,Caenorhabditis elegans,1
A0A067XG53,51.425,Mus musculus,2
A0A068BIS6,53.06,Mus musculus,1
A0A068BIT0,53.065,Mus musculus,2
A0A077LSK8,50.72,Caenorhabditis elegans,1
A0A077S2U6,60.95,Mus musculus,1
A0A077S9N1,57.59,Mus musculus,2
A0A078BPG0,41.11,Caenorhabditis elegans,1
A0A087WNV1,51.935,Mus musculus,2
A0A087WP63,48.745000000000005,Mus musculus,2
A0A087WPH5,51.84,Mus musculus,2
A0A087WPL5,52.504999999999995,Mus musculus,2
A0A087WPP8,50.835,Mus musculus,2
A0A087WPR9,51.185,Mus musculus,2
A0A087WPX0,51.11,Mus musculus,2
A0A087WQ86,49.92,Mus musculus,2
A0A087WQC2,62.14,Mus musculus,1
A0A087WQE6,49.68,Mus musculus,2
A0A087WQS2,46.65,Mus musculus,2
A0A087WQT0,44.23,Mus musculus,1
A0A087WR24,53.76,Mus musculus,1
A0A087WR70,46.56,Mus musculus,1
A0A087WR75,51.27,Mus musculus,1
A0A087WRE5,53.4,Mus musculus,2
A0A087WRE7,54.56,Mus musculus,2
A0A087WRJ2,51.06,Mus musculus,2
A0A087WRM0,47.46,Mus musculus,1
A0A087WRM2,53.94,Mus musculus,2
A0A087WRV0,52.52,Mus musculus,1
A0A087WRW6,52.14,Mus musculus,2
A0A087WS03,51.13,Mus musculus,1
A0A087WST1,47.67,Mus musculus,2
A0A096X788,50.1,Danio rerio,1
A0A0A0MPJ4,52.3,Danio rerio,1
A0A0A0MQ68,50.15,Mus musculus,2
A0A0A0MQ73,51.05,Mus musculus,2
A0A0A0MQ79,53.51,Mus musculus,1
A0A0A0MQ89,48.349999999999994,Mus musculus,2
A0A0A0MQ90,65.82,Mus musculus,1
A0A0A0MQ98,49.715,Mus musculus,2
A0A0A0MQ99,49.879999999999995,Mus musculus,2
A0A0A0MQA5,48.0,Mus musculus,2
A0A0A0MQD1,44.32,Mus musculus,1
A0A0A0MQD4,48.43,Mus musculus,2
A0A0A0MQE5,47.415,Mus musculus,2
A0A0A0MQF5,44.47,Mus musculus,2
A0A0A0MQM0,49.43,Mus musculus,2
A0A0A0MQM6,49.45,Mus musculus,2
A0A0A0MQN4,45.945,Mus musculus,2
A0A0A6YVR9,51.55,Mus musculus,2
A0A0A6YVS2,51.855000000000004,Mus musculus,2
A0A0A6YVU8,45.285,Mus musculus,2
A0A0A6YW28,43.385,Mus musculus,2
A0A0A6YW87,52.175,Mus musculus,2
A0A0A6YWA7,48.96,Mus musculus,2
A0A0A6YWB0,49.31,Mus musculus,2
A0A0A6YWG7,48.85,Mus musculus,1
A0A0A6YWP2,42.2,Mus musculus,1
A0A0A6YWT5,45.79,Mus musculus,1
A0A0A6YWY3,53.974999999999994,Mus musculus,2
A0A0A6YX18,53.010000000000005,Mus musculus,2
A0A0A6YX21,50.555,Mus musculus,2
A0A0A6YX25,43.275000000000006,Mus musculus,2
A0A0A6YX40,52.185,Mus musculus,2
A0A0A6YX73,46.14,Mus musculus,2
A0A0A6YXG1,50.84,Mus musculus,1
A0A0A6YXL6,47.005,Mus musculus,2
A0A0A6YXM5,49.96,Mus musculus,2
A0A0A6YY22,49.21,Mus musculus,1
A0A0A6YY64,49.5,Mus musculus,2
A0A0A6YY67,50.71,Mus musculus,1
A0A0B4J1E6,55.23,Mus musculus,2
A0A0B4J1G0,52.49,Mus musculus,1
A0A0B4J1K8,47.95,Mus musculus,2
A0A0B4P506,54.71,Danio rerio,1
A0A0B5JK66,52.49,Danio rerio,1
A0A0B5JS55,64.65,Danio rerio,1
A0A0B5JS61,63.65,Danio rerio,1
A0A0D2X7Z2,48.565,Mus musculus,2
A0A0F6AIX5,44.375,Mus musculus,2
A0A0F6PK88,53.38,Danio rerio,1
A0A0F7EVQ6,44.22,Danio rerio,1
A0A0G2JDF7,40.68,Mus musculus,2
A0A0G2JDH8,47.120000000000005,Mus musculus,2
A0A0G2JDI9,56.495000000000005,Mus musculus,2
A0A0G2JDQ1,50.71,Mus musculus,1
A0A0G2JDS8,47.91,Mus musculus,1
A0A0G2JDW7,47.45,Mus musculus,2
A0A0G2JE03,51.485,Mus musculus,2
A0A0G2JE93,52.349999999999994,Mus musculus,2
A0A0G2JE97,50.69,Mus musculus,2
A0A0G2JEB8,57.55,Mus musculus,1
A0A0G2JEG2,49.695,Mus musculus,2
A0A0G2JEG3,46.795,Mus musculus,2
A0A0G2JEH5,52.205,Mus musculus,2
A0A0G2JEK2,54.21,Mus musculus,1
A0A0G2JET2,49.245000000000005,Mus musculus,2
A0A0G2JF30,46.33,Mus musculus,1
A0A0G2JF44,48.120000000000005,Mus musculus,2
A0A0G2JFB2,47.36,Mus musculus,2
A0A0G2JFC9,49.35,Mus musculus,1
A0A0G2JFF1,50.42,Mus musculus,1
A0A0G2JFF9,50.315,Mus musculus,2
A0A0G2JFH9,52.595,Mus musculus,2
A0A0G2JFJ6,48.519999999999996,Mus musculus,2
A0A0G2JFN1,49.004999999999995,Mus musculus,2
A0A0G2JFQ4,48.89,Mus musculus,1
