uniprot_id,Tm,organism,n_measurements,Tm_std
(XM,51.195,Homo sapiens,6,0.6044749788039221
12 KDA PROTEIN.,52.0625,Homo sapiens,4,0.8874448339662211
14 KDA PROTEIN.,50.384,Homo sapiens,5,1.9505204433688987
15 KDA PROTEIN.,50.28,Homo sapiens,9,1.8281958319611158
16 KDA PROTEIN.,50.49,Homo sapiens,2,0.9192388155425097
18 KDA PROTEIN.,52.451,Homo sapiens,10,1.4638415973807504
21 KDA PROTEIN.,52.27066666666666,Homo sapiens,15,1.1680781937296274
25 KDA PROTEIN.,51.94,Homo sapiens,2,0.6222539674441662
27 KDA PROTEIN.,49.895,Homo sapiens,2,2.2980970388562794
31 KDA PROTEIN.,49.99,Homo sapiens,1,
37135,51.00076923076923,Homo sapiens,13,0.34003582013423006
37500,51.74484848484848,Homo sapiens,33,0.3088397765440161
37865,51.382222222222225,Homo sapiens,9,0.5177783738670838
38596,51.60347826086957,Homo sapiens,23,1.0055826384180224
38961,51.79151515151515,Homo sapiens,33,0.6369366197478022
39326,51.800000000000004,Homo sapiens,33,0.4499722213648296
39692,52.0439393939394,Homo sapiens,33,0.8410407964017675
4 KDA PROTEIN.,52.55,Homo sapiens,2,0.4808326112068496
40057,51.09606060606061,Homo sapiens,33,0.8587525087079052
40422,51.42928571428571,Homo sapiens,14,0.5294621986319891
40787,51.803870967741936,Homo sapiens,31,0.6573415013996635
41883,51.06,Homo sapiens,1,
42 KDA PROTEIN.,53.010416666666664,Homo sapiens,24,3.1179110609602017
42248,50.61272727272728,Homo sapiens,33,1.262656605948533
49 KDA PROTEIN.,51.111428571428576,Homo sapiens,7,2.247053096624025
7 KDA PROTEIN.,50.585,Homo sapiens,6,1.9806640300666851
9 KDA PROTEIN.,51.01333333333333,Homo sapiens,3,0.9104577603235247
A0A023PXQ4,52.4,Saccharomyces cerevisiae,1,
A0A023T4K3,37.96,Caenorhabditis elegans,1,
A0A023T778,54.935,Mus musculus,2,0.7141778489984141
A0A061ACF5,49.46,Caenorhabditis elegans,1,
A0A061ACH4,42.59,Caenorhabditis elegans,1,
A0A061ACH8,38.0,Caenorhabditis elegans,1,
A0A061ACH9,42.52,Caenorhabditis elegans,1,
A0A061ACI3,43.89,Caenorhabditis elegans,1,
A0A061ACL3,41.97,Caenorhabditis elegans,1,
A0A061ACL6,49.04,Caenorhabditis elegans,1,
A0A061ACM7,45.64,Caenorhabditis elegans,1,
A0A061ACQ8,38.56,Caenorhabditis elegans,1,
A0A061ACR1,47.37,Caenorhabditis elegans,1,
A0A061ACX4,42.67,Caenorhabditis elegans,1,
A0A061AD29,37.3,Caenorhabditis elegans,1,
A0A061AJJ3,39.4,Caenorhabditis elegans,1,
A0A067XG53,51.425,Mus musculus,2,1.7041273426595795
A0A068BIS6,53.06,Mus musculus,1,
A0A068BIT0,53.065,Mus musculus,2,0.23334523779155947
A0A077LSK8,50.72,Caenorhabditis elegans,1,
A0A077S2U6,60.95,Mus musculus,1,
A0A077S9N1,57.59,Mus musculus,2,1.2020815280171302
A0A078BPG0,41.11,Caenorhabditis elegans,1,
A0A087WNV1,51.935,Mus musculus,2,0.47376154339498805
A0A087WP63,48.745000000000005,Mus musculus,2,0.9545941546018376
A0A087WPH5,51.84,Mus musculus,2,2.390020920410535
A0A087WPL5,52.504999999999995,Mus musculus,2,0.7141778489984091
A0A087WPP8,50.835,Mus musculus,2,2.1142492757477735
A0A087WPR9,51.185,Mus musculus,2,0.2899137802864896
A0A087WPX0,51.11,Mus musculus,2,0.16970562748476778
A0A087WQ86,49.92,Mus musculus,2,1.4424978336205587
A0A087WQC2,62.14,Mus musculus,1,
A0A087WQE6,49.68,Mus musculus,2,1.598061325481601
A0A087WQS2,46.65,Mus musculus,2,1.1737972567696664
A0A087WQT0,44.23,Mus musculus,1,
A0A087WR24,53.76,Mus musculus,1,
A0A087WR70,46.56,Mus musculus,1,
A0A087WR75,51.27,Mus musculus,1,
A0A087WRE5,53.4,Mus musculus,2,3.1395541084682694
A0A087WRE7,54.56,Mus musculus,2,1.9516147160748722
A0A087WRJ2,51.06,Mus musculus,2,5.1053109601668725
A0A087WRM0,47.46,Mus musculus,1,
A0A087WRM2,53.94,Mus musculus,2,0.49497474683057774
A0A087WRV0,52.52,Mus musculus,1,
A0A087WRW6,52.14,Mus musculus,2,2.0930360723121786
A0A087WS03,51.13,Mus musculus,1,
A0A087WST1,47.67,Mus musculus,2,2.5880108191427613
A0A096X788,50.1,Danio rerio,1,
A0A0A0MPJ4,52.3,Danio rerio,1,
A0A0A0MQ68,50.15,Mus musculus,2,0.3676955262170019
A0A0A0MQ73,51.05,Mus musculus,2,0.38183766184073253
A0A0A0MQ79,53.51,Mus musculus,1,
A0A0A0MQ89,48.349999999999994,Mus musculus,2,0.18384776310849843
A0A0A0MQ90,65.82,Mus musculus,1,
A0A0A0MQ98,49.715,Mus musculus,2,1.2940054095713882
A0A0A0MQ99,49.879999999999995,Mus musculus,2,4.921463197058369
A0A0A0MQA5,48.0,Mus musculus,2,1.3435028842544443
A0A0A0MQD1,44.32,Mus musculus,1,
A0A0A0MQD4,48.43,Mus musculus,2,5.868986283848343
A0A0A0MQE5,47.415,Mus musculus,2,0.7141778489984166
A0A0A0MQF5,44.47,Mus musculus,2,2.6587214972614146
A0A0A0MQM0,49.43,Mus musculus,2,0.7919595949289364
A0A0A0MQM6,49.45,Mus musculus,2,2.50315800540038
A0A0A0MQN4,45.945,Mus musculus,2,1.8455486988968888
A0A0A6YVR9,51.55,Mus musculus,2,0.5515432893255079
A0A0A6YVS2,51.855000000000004,Mus musculus,2,1.4495689014324278
A0A0A6YVU8,45.285,Mus musculus,2,2.8354981925580516
A0A0A6YW28,43.385,Mus musculus,2,1.0253048327204959
A0A0A6YW87,52.175,Mus musculus,2,2.481944801964778
A0A0A6YWA7,48.96,Mus musculus,2,1.1030865786510158
A0A0A6YWB0,49.31,Mus musculus,2,1.7960512242138327
